comunidad_autonoma,codigo_provincia,provincia,superficie,habitantes
Andalucía,13385,Almería,"45,24",1249
Andalucía,13385,Almería,"83,68",1202
Andalucía,13385,Almería,"89,69",25148
Andalucía,13385,Almería,"34,91",741
Andalucía,13385,Almería,"69,73",616
Andalucía,13385,Almería,"168,28",11805
Andalucía,13385,Almería,"67,52",825
Andalucía,13385,Almería,"93,91",505
Andalucía,13385,Almería,"15,52",152
Andalucía,13385,Almería,"16,39",671
Andalucía,13385,Almería,"26,24",3641
Andalucía,13385,Almería,"5,87",206
Andalucía,13385,Almería,"295,72",198533
Andalucía,13385,Almería,"30,83",169
Andalucía,13385,Almería,"20,1",125
Andalucía,13385,Almería,"99,73",3182
Andalucía,13385,Almería,"66,14",4596
Andalucía,13385,Almería,"7,72",302
Andalucía,13385,Almería,"94,52",246
Andalucía,13385,Almería,"31,59",3009
Andalucía,13385,Almería,"38,02",317
Andalucía,13385,Almería,"26,36",215
Andalucía,13385,Almería,"46,72",971
Andalucía,13385,Almería,"38,83",110
Andalucía,13385,Almería,"16,62",4382
Andalucía,13385,Almería,"6,4",58
Andalucía,13385,Almería,"31,97",254
Andalucía,13385,Almería,"11,34",238
Andalucía,13385,Almería,"185,81",12415
Andalucía,13385,Almería,"66,93",1214
Andalucía,13385,Almería,"78,95",3204
Andalucía,13385,Almería,"95,46",8004
Andalucía,13385,Almería,"29,24",123
Andalucía,13385,Almería,"13,55",278
Andalucía,13385,Almería,"196,47",1472
Andalucía,13385,Almería,"31,99",171
Andalucía,13385,Almería,"263,98",14081
Andalucía,13385,Almería,"141,73",4006
Andalucía,13385,Almería,"226,13",83594
Andalucía,13385,Almería,"66,84",466
Andalucía,13385,Almería,"81,26",628
Andalucía,13385,Almería,"23,12",2079
Andalucía,13385,Almería,"133,96",1994
Andalucía,13385,Almería,"91,16",989
Andalucía,13385,Almería,"87,67",3012
Andalucía,13385,Almería,"34,9",2794
Andalucía,13385,Almería,"7,77",9212
Andalucía,13385,Almería,"229,49",1030
Andalucía,13385,Almería,"19,02",480
Andalucía,13385,Almería,"20,93",17651
Andalucía,13385,Almería,"318,46",19127
Andalucía,13385,Almería,"19,19",394
Andalucía,13385,Almería,"33,48",448
Andalucía,13385,Almería,"21,71",192
Andalucía,13385,Almería,"92,81",1536
Andalucía,13385,Almería,"28,24",390
Andalucía,13385,Almería,"138,14",1477
Andalucía,13385,Almería,"123,2",538
Andalucía,13385,Almería,"100,72",763
Andalucía,13385,Almería,"43,82",5482
Andalucía,13385,Almería,"225,62",1238
Andalucía,13385,Almería,"71,54",6403
Andalucía,13385,Almería,"23,87",9021
Andalucía,13385,Almería,"80,76",495
Andalucía,13385,Almería,"599,77",30663
Andalucía,13385,Almería,"32,41",580
Andalucía,13385,Almería,"33,6",196
Andalucía,13385,Almería,"23,44",6210
Andalucía,13385,Almería,"234,71",2249
Andalucía,13385,Almería,"26,49",410
Andalucía,13385,Almería,"52,61",1110
Andalucía,13385,Almería,"45,48",371
Andalucía,13385,Almería,"46,06",4037
Andalucía,13385,Almería,"94,6",10055
Andalucía,13385,Almería,"56,6",1618
Andalucía,13385,Almería,"26,92",316
Andalucía,13385,Almería,"36,4",1417
Andalucía,13385,Almería,"59,65",96800
Andalucía,13385,Almería,"19,97",208
Andalucía,13385,Almería,"34,87",452
Andalucía,13385,Almería,"50,25",295
Andalucía,13385,Almería,"166,28",2041
Andalucía,13385,Almería,"27,64",381
Andalucía,13385,Almería,"16,13",446
Andalucía,13385,Almería,"249,16",2388
Andalucía,13385,Almería,"10,09",204
Andalucía,13385,Almería,"280,38",3688
Andalucía,13385,Almería,"44,06",925
Andalucía,13385,Almería,"94,6",362
Andalucía,13385,Almería,"15,72",377
Andalucía,13385,Almería,"67,73",3541
Andalucía,13385,Almería,"85,35",568
Andalucía,13385,Almería,"107,96",3549
Andalucía,13385,Almería,"39,17",240
Andalucía,13385,Almería,"38,67",833
Andalucía,13385,Almería,"25,47",350
Andalucía,13385,Almería,"66,45",242
Andalucía,13385,Almería,"441,31",1904
Andalucía,13385,Almería,"282,05",6555
Andalucía,13385,Almería,"57,59",16452
Andalucía,13385,Almería,"20,62",5885
Andalucía,13385,Almería,"64,34",26028
Andalucía,13385,Almería,"71,67",3005
Andalucía,13386,Cádiz,"479,07",5219
Andalucía,13386,Cádiz,"46,89",5046
Andalucía,13386,Cádiz,"26,61",1413
Andalucía,13386,Cádiz,"87,96",121957
Andalucía,13386,Cádiz,"134,05",5550
Andalucía,13386,Cádiz,"526,81",30700
Andalucía,13386,Cádiz,"142,17",22518
Andalucía,13386,Cádiz,"330,44",23642
Andalucía,13386,Cádiz,"60,37",6929
Andalucía,13386,Cádiz,"69,39",671
Andalucía,13386,Cádiz,"55,09",7670
Andalucía,13386,Cádiz,"30,75",2145
Andalucía,13386,Cádiz,"12,3",116027
Andalucía,13386,Cádiz,"180,28",3049
Andalucía,13386,Cádiz,"205,86",84489
Andalucía,13386,Cádiz,"32,9",19123
Andalucía,13386,Cádiz,"88,07",22529
Andalucía,13386,Cádiz,"123,44",3860
Andalucía,13386,Cádiz,"27,54",1752
Andalucía,13386,Cádiz,"122,41",2027
Andalucía,13386,Cádiz,"1187,92",212749
Andalucía,13386,Cádiz,"298,42",6951
Andalucía,13386,Cádiz,"26,67",63147
Andalucía,13386,Cádiz,"487,23",11708
Andalucía,13386,Cádiz,"193,69",8113
Andalucía,13386,Cádiz,"13,83",5470
Andalucía,13386,Cádiz,"48,58",5605
Andalucía,13386,Cádiz,"159,09",88405
Andalucía,13386,Cádiz,"196,02",41627
Andalucía,13386,Cádiz,"79,85",6941
Andalucía,13386,Cádiz,"84,19",29109
Andalucía,13386,Cádiz,"30,65",94979
Andalucía,13386,Cádiz,"223,85",4418
Andalucía,13386,Cádiz,"48,44",2753
Andalucía,13386,Cádiz,"39,56",31218
Andalucía,13386,Cádiz,"170,27",68684
Andalucía,13386,Cádiz,"82,15",2769
Andalucía,13386,Cádiz,"419,76",18162
Andalucía,13386,Cádiz,"17,36",790
Andalucía,13386,Cádiz,"70,72",7028
Andalucía,13386,Cádiz,"69,75",16597
Andalucía,13386,Cádiz,"263,94",12624
Andalucía,13386,Cádiz,"59,46",455
Andalucía,13386,Cádiz,"211,85",12150
Andalucía,13386,Cádiz,"72,48",1387
Andalucía,13389,Huelva,"41,46",756
Andalucía,13389,Huelva,"33,82",21260
Andalucía,13389,Huelva,"170,61",826
Andalucía,13389,Huelva,"321,29",1819
Andalucía,13389,Huelva,"859,21",24191
Andalucía,13389,Huelva,"191,07",2195
Andalucía,13389,Huelva,"184,45",8107
Andalucía,13389,Huelva,"498,44",3073
Andalucía,13389,Huelva,"86,95",953
Andalucía,13389,Huelva,"141,29",20946
Andalucía,13389,Huelva,"144,66",4257
Andalucía,13389,Huelva,"126,23",312
Andalucía,13389,Huelva,"49,31",14272
Andalucía,13389,Huelva,"64,77",6058
Andalucía,13389,Huelva,"108,65",730
Andalucía,13389,Huelva,"83,94",1167
Andalucía,13389,Huelva,"237,83",2791
Andalucía,13389,Huelva,"90,72",2023
Andalucía,13389,Huelva,"46,98",675
Andalucía,13389,Huelva,"34,77",403
Andalucía,13389,Huelva,"225,32",19974
Andalucía,13389,Huelva,"12,93",223
Andalucía,13389,Huelva,"286,12",2364
Andalucía,13389,Huelva,"26,06",2222
Andalucía,13389,Huelva,"49,13",548
Andalucía,13389,Huelva,"173,06",4666
Andalucía,13389,Huelva,"39,93",299
Andalucía,13389,Huelva,"13,55",56
Andalucía,13389,Huelva,"144,58",381
Andalucía,13389,Huelva,"121,61",1755
Andalucía,13389,Huelva,"177,76",1305
Andalucía,13389,Huelva,"134,9",2284
Andalucía,13389,Huelva,"10,92",678
Andalucía,13389,Huelva,"22,27",1379
Andalucía,13389,Huelva,"328,33",12607
Andalucía,13389,Huelva,"44,7",239
Andalucía,13389,Huelva,"97,55",516
Andalucía,13389,Huelva,"24,48",1287
Andalucía,13389,Huelva,"26,71",325
Andalucía,13389,Huelva,"319,88",3976
Andalucía,13389,Huelva,"152,03",143663
Andalucía,13389,Huelva,"49,36",21264
Andalucía,13389,Huelva,"24,92",2250
Andalucía,13389,Huelva,"127,94",27431
Andalucía,13389,Huelva,"29,22",263
Andalucía,13389,Huelva,"69,73",3371
Andalucía,13389,Huelva,"39,63",2135
Andalucía,13389,Huelva,"9,98",396
Andalucía,13389,Huelva,"23,31",3848
Andalucía,13389,Huelva,"203,74",22088
Andalucía,13389,Huelva,"61,03",266
Andalucía,13389,Huelva,"55,4",5235
Andalucía,13389,Huelva,"223,59",4117
Andalucía,13389,Huelva,"60,42",10761
Andalucía,13389,Huelva,"49,25",11289
Andalucía,13389,Huelva,"132,53",3509
Andalucía,13389,Huelva,"213,47",1159
Andalucía,13389,Huelva,"336,3",3073
Andalucía,13389,Huelva,"19,82",282
Andalucía,13389,Huelva,"38,77",15242
Andalucía,13389,Huelva,"71,95",7855
Andalucía,13389,Huelva,"209,5",1697
Andalucía,13389,Huelva,"56,61",3736
Andalucía,13389,Huelva,"45,28",9300
Andalucía,13389,Huelva,"48,59",623
Andalucía,13389,Huelva,"96,56",409
