provincia,fecha,p_mes
A_Coruna,2022-12,199.4
A_Coruna,2022-11,162.4
A_Coruna,2022-10,150
A_Coruna,2022-9,62.2
A_Coruna,2022-8,6.6
A_Coruna,2022-7,1.8
A_Coruna,2022-6,50.2
A_Coruna,2022-5,26.6
A_Coruna,2022-4,40.4
A_Coruna,2022-3,105.4
A_Coruna,2022-2,44
A_Coruna,2022-1,54.2
A_Coruna,2021-12,94.8
A_Coruna,2021-11,104.2
A_Coruna,2021-10,100
A_Coruna,2021-9,68
A_Coruna,2021-8,14.6
A_Coruna,2021-7,24.7
A_Coruna,2021-6,101.4
A_Coruna,2021-5,100.8
A_Coruna,2021-4,85.3
A_Coruna,2021-3,14.8
A_Coruna,2021-2,181.2
A_Coruna,2021-1,143.2
A_Coruna,2020-12,218.8
A_Coruna,2020-11,65.1
A_Coruna,2020-10,123
A_Coruna,2020-9,39
A_Coruna,2020-8,108
A_Coruna,2020-7,1.4
A_Coruna,2020-6,39.4
A_Coruna,2020-5,8.4
A_Coruna,2020-4,73
A_Coruna,2020-3,114
A_Coruna,2020-2,47.1
A_Coruna,2020-1,119.3
A_Coruna,2019-12,192
A_Coruna,2019-11,231.8
A_Coruna,2019-10,142.4
A_Coruna,2019-9,19
A_Coruna,2019-8,27.4
A_Coruna,2019-7,11
A_Coruna,2019-6,61.8
A_Coruna,2019-5,41.8
A_Coruna,2019-4,112.2
A_Coruna,2019-3,46.9
A_Coruna,2019-2,48
A_Coruna,2019-1,109.2
