provincia,fecha,p_mes
Almería,2022-12,44.4
Almería,2022-11,NULL
Almería,2022-10,NULL
Almería,2022-9,5.6
Almería,2022-8,8.8
Almería,2022-7,0
Almería,2022-6,NULL
Almería,2022-5,NULL
Almería,2022-4,60.4
Almería,2022-3,116.9
Almería,2022-2,8.3
Almería,2022-1,11
Almería,2021-12,4.4
Almería,2021-11,16.3
Almería,2021-10,4.5
Almería,2021-9,4.4
Almería,2021-8,0.5
Almería,2021-7,0.6
Almería,2021-6,21.5
Almería,2021-5,38.8
Almería,2021-4,45.9
Almería,2021-3,21.8
Almería,2021-2,7.9
Almería,2021-1,53.2
Almería,2020-12,2.8
Almería,2020-11,75.8
Almería,2020-10,6.2
Almería,2020-9,10.4
Almería,2020-8,0.7
Almería,2020-7,0
Almería,2020-6,0
Almería,2020-5,11.1
Almería,2020-4,34.5
Almería,2020-3,31.7
Almería,2020-2,0
Almería,2020-1,21.3
Almería,2019-12,20.9
Almería,2019-11,18.5
Almería,2019-10,10.9
Almería,2019-9,44.6
Almería,2019-8,1.9
Almería,2019-7,0.3
Almería,2019-6,2.2
Almería,2019-5,3.9
Almería,2019-4,53.1
Almería,2019-3,6.2
Almería,2019-2,4.2
Almería,2019-1,4.7
