provincia,fecha,p_mes
Cádiz,2022-12,180.8
Cádiz,2022-11,55.2
Cádiz,2022-10,9.4
Cádiz,2022-9,4.3
Cádiz,2022-8,0.2
Cádiz,2022-7,0
Cádiz,2022-6,0
Cádiz,2022-5,0.2
Cádiz,2022-4,41.8
Cádiz,2022-3,154.2
Cádiz,2022-2,3.4
Cádiz,2022-1,3.6
Cádiz,2021-12,142
Cádiz,2021-11,15
Cádiz,2021-10,10.2
Cádiz,2021-9,17.4
Cádiz,2021-8,1
Cádiz,2021-7,0
Cádiz,2021-6,13
Cádiz,2021-5,3
Cádiz,2021-4,8.2
Cádiz,2021-3,16.2
Cádiz,2021-2,63.8
Cádiz,2021-1,135.3
Cádiz,2020-12,49.3
Cádiz,2020-11,170.9
Cádiz,2020-10,56.3
Cádiz,2020-9,6.2
Cádiz,2020-8,1.2
Cádiz,2020-7,0
Cádiz,2020-6,3.1
Cádiz,2020-5,85.7
Cádiz,2020-4,42.3
Cádiz,2020-3,126
Cádiz,2020-2,3.9
Cádiz,2020-1,85
Cádiz,2019-12,43.3
Cádiz,2019-11,44.1
Cádiz,2019-10,12.7
Cádiz,2019-9,1.8
Cádiz,2019-8,0
Cádiz,2019-7,0
Cádiz,2019-6,0.9
Cádiz,2019-5,0
Cádiz,2019-4,41.1
Cádiz,2019-3,9.4
Cádiz,2019-2,0.9
Cádiz,2019-1,29
