provincia,fecha,p_mes
Girona,2022-12,27.3
Girona,2022-11,34.8
Girona,2022-10,39.9
Girona,2022-9,69.5
Girona,2022-8,77.7
Girona,2022-7,3.5
Girona,2022-6,14.8
Girona,2022-5,44.3
Girona,2022-4,60.8
Girona,2022-3,139
Girona,2022-2,3.8
Girona,2022-1,4.2
Girona,2021-12,1.9
Girona,2021-11,103.4
Girona,2021-10,17.6
Girona,2021-9,125.1
Girona,2021-8,23.4
Girona,2021-7,13.7
Girona,2021-6,2.9
Girona,2021-5,71.1
Girona,2021-4,51.5
Girona,2021-3,10.5
Girona,2021-2,24.9
Girona,2021-1,27.1
Girona,2020-12,5.8
Girona,2020-11,148.9
Girona,2020-10,45.9
Girona,2020-9,73.2
Girona,2020-8,27.9
Girona,2020-7,69.7
Girona,2020-6,145.8
Girona,2020-5,36.6
Girona,2020-4,173
Girona,2020-3,79.9
Girona,2020-2,6.7
Girona,2020-1,240.7
Girona,2019-12,81.5
Girona,2019-11,34.8
Girona,2019-10,108.1
Girona,2019-9,53.7
Girona,2019-8,7.2
Girona,2019-7,56.2
Girona,2019-6,14.6
Girona,2019-5,66.8
Girona,2019-4,47
Girona,2019-3,5.6
Girona,2019-2,0.8
Girona,2019-1,11.7
