provincia,fecha,p_mes
Huelva,2022-12,182.2
Huelva,2022-11,29.8
Huelva,2022-10,42.2
Huelva,2022-9,19
Huelva,2022-8,4.2
Huelva,2022-7,0
Huelva,2022-6,0.2
Huelva,2022-5,15.2
Huelva,2022-4,33.4
Huelva,2022-3,97.9
Huelva,2022-2,5.8
Huelva,2022-1,2.4
Huelva,2021-12,68.2
Huelva,2021-11,21.8
Huelva,2021-10,8.2
Huelva,2021-9,18.2
Huelva,2021-8,0
Huelva,2021-7,0
Huelva,2021-6,0
Huelva,2021-5,9.6
Huelva,2021-4,21.6
Huelva,2021-3,17.2
Huelva,2021-2,62
Huelva,2021-1,26.8
Huelva,2020-12,17.8
Huelva,2020-11,196
Huelva,2020-10,43.6
Huelva,2020-9,18.4
Huelva,2020-8,0
Huelva,2020-7,0
Huelva,2020-6,1.2
Huelva,2020-5,58.8
Huelva,2020-4,65.4
Huelva,2020-3,58
Huelva,2020-2,0.2
Huelva,2020-1,67.6
Huelva,2019-12,96.2
Huelva,2019-11,31.8
Huelva,2019-10,16
Huelva,2019-9,7
Huelva,2019-8,0
Huelva,2019-7,0
Huelva,2019-6,0
Huelva,2019-5,0
Huelva,2019-4,43.6
Huelva,2019-3,9.4
Huelva,2019-2,1.6
Huelva,2019-1,30
