provincia,fecha,p_mes
Almería,2020-1,21.3
Almería,2020-2,0
Almería,2020-3,31.7
Almería,2020-4,34.5
Almería,2020-5,11.1
Almería,2020-6,0
Almería,2020-7,0
Almería,2020-8,0.7
Almería,2020-9,10.4
Almería,2020-10,6.2
Almería,2020-11,75.8
Almería,2020-12,2.8
A_Coruna,2020-1,119.3
A_Coruna,2020-2,47.1
A_Coruna,2020-3,114
A_Coruna,2020-4,73
A_Coruna,2020-5,8.4
A_Coruna,2020-6,39.4
A_Coruna,2020-7,1.4
A_Coruna,2020-8,108
A_Coruna,2020-9,39
A_Coruna,2020-10,123
A_Coruna,2020-11,65.1
A_Coruna,2020-12,218.8
Huelva,2020-1,67.6
Huelva,2020-2,0.2
Huelva,2020-3,58
Huelva,2020-4,65.4
Huelva,2020-5,58.8
Huelva,2020-6,1.2
Huelva,2020-7,0
Huelva,2020-8,0
Huelva,2020-9,18.4
Huelva,2020-10,43.6
Huelva,2020-11,196
Huelva,2020-12,17.8
Girona,2020-1,240.7
Girona,2020-2,6.7
Girona,2020-3,79.9
Girona,2020-4,173
Girona,2020-5,36.6
Girona,2020-6,145.8
Girona,2020-7,69.7
Girona,2020-8,27.9
Girona,2020-9,73.2
Girona,2020-10,45.9
Girona,2020-11,148.9
Girona,2020-12,5.8
Cádiz,2020-1,85
Cádiz,2020-2,3.9
Cádiz,2020-3,126
Cádiz,2020-4,42.3
Cádiz,2020-5,85.7
Cádiz,2020-6,3.1
Cádiz,2020-7,0
Cádiz,2020-8,1.2
Cádiz,2020-9,6.2
Cádiz,2020-10,56.3
Cádiz,2020-11,170.9
Cádiz,2020-12,49.3
