id,fecha,indicativo,p_mes,p_max,w_med,tm_mes,tm_max,tm_min,n_cub
0,2019-1,6302A,4.7,2.4(19),7.0,,,,
1,2019-2,6302A,4.2,4.1(01),,,,,
2,2019-3,6302A,6.2,3.0(30),,,,,
3,2019-4,6302A,53.1,17.0(18),8.0,13.5,19.1,7.8,
4,2019-5,6302A,3.9,3.9(03),8.0,19.4,25.7,13.1,
5,2019-6,6302A,2.2,2.2(13),11.0,,,,
6,2019-7,6302A,0.3,0.3(07),11.0,26.4,32.8,19.9,
7,2019-8,6302A,1.9,1.8(31),10.0,26.2,32.6,19.7,
8,2019-9,6302A,44.6,28.5(12),7.0,22.1,27.7,16.6,
9,2019-10,6302A,10.9,4.8(19),5.0,18.8,24.8,12.7,
10,2019-11,6302A,18.5,8.9(17),8.0,12.3,16.8,7.7,
11,2019-12,6302A,20.9,12.1(02),6.0,12.1,17.3,6.9,
12,2020-1,6302A,21.3,6.6(20),5.0,9.6,14.9,4.2,
13,2020-2,6302A,0.0,0.0(--),5.0,13.7,20.1,7.2,
14,2020-3,6302A,31.7,8.5(23),8.0,13.2,18.5,7.9,
15,2020-4,6302A,34.5,12.1(13),8.0,13.9,18.7,9.0,
16,2020-5,6302A,11.1,8.6(12),9.0,20.0,26.1,13.9,
17,2020-6,6302A,0.0,0.0(--),9.0,23.1,29.5,16.6,
18,2020-7,6302A,0.0,0.0(--),11.0,,,,
19,2020-8,6302A,0.7,0.7(01),10.0,26.9,33.4,20.3,
20,2020-9,6302A,10.4,6.2(18),9.0,21.9,28.1,15.7,
21,2020-10,6302A,6.2,2.9(22),7.0,17.2,23.8,10.6,
22,2020-11,6302A,75.8,37.8(05),6.0,13.9,19.2,8.6,
23,2020-12,6302A,2.8,1.6(08),7.0,10.5,15.8,5.1,
24,2021-1,6302A,53.2,23.6(08),7.0,9.8,15.1,4.6,
25,2021-2,6302A,7.9,4.2(21),6.0,12.5,18.1,6.9,
26,2021-3,6302A,21.8,13.9(06),5.0,12.4,18.0,6.7,
27,2021-4,6302A,45.9,13.5(15),5.0,14.3,19.4,9.1,
28,2021-5,6302A,38.8,21.8(23),6.0,18.8,25.3,12.3,
29,2021-6,6302A,21.5,10.0(05),8.0,22.5,28.9,16.0,
30,2021-7,6302A,0.6,0.6(26),8.0,27.0,33.9,20.0,
31,2021-8,6302A,0.5,0.3(16),8.0,26.7,32.9,20.4,
32,2021-9,6302A,4.4,2.2(24),8.0,,,,
33,2021-10,6302A,4.5,4.2(22),6.0,18.2,23.9,12.5,2.0
34,2021-11,6302A,16.3,7.0(20),8.0,11.4,16.4,6.3,4.0
35,2021-12,6302A,4.4,2.9(24),8.0,11.7,16.9,6.5,5.0
36,2022-1,6302A,11.0,5.8(26),7.0,9.3,14.6,3.9,4.0
37,2022-2,6302A,8.3,5.9(24),7.0,11.5,17.5,5.5,5.0
38,2022-3,6302A,116.9,25.5(24),8.0,10.9,15.1,6.6,17.0
39,2022-4,6302A,60.4,25.7(05),7.0,13.4,18.9,7.9,11.0
40,2022-5,6302A,,,,,,,4.0
41,2022-6,6302A,,,8.0,,,,2.0
42,2022-7,6302A,0.0,0.0(--),9.0,26.6,33.2,19.9,0.0
43,2022-8,6302A,8.8,4.4(30),9.0,26.1,32.8,19.3,3.0
44,2022-9,6302A,5.6,1.6(12),,,,,5.0
45,2022-10,6302A,,,5.0,,,,13.0
46,2022-11,6302A,,,,,,,6.0
47,2022-12,6302A,44.4,21.3(09),4.0,12.9,18.4,7.3,7.0
48,2019-1,1387,109.2,20.6(19),14.0,10.2,12.8,7.6,
49,2019-2,1387,48.0,18.6(17),11.0,12.8,16.5,9.1,
50,2019-3,1387,46.9,15.2(05),14.0,12.8,16.2,9.4,
51,2019-4,1387,112.2,15.8(07),14.0,13.0,16.2,9.9,
52,2019-5,1387,41.8,32.4(09),15.0,15.5,18.8,12.2,
53,2019-6,1387,61.8,25.6(06),12.0,16.6,19.4,13.7,
54,2019-7,1387,11.0,4.8(26),13.0,19.3,22.1,16.4,
55,2019-8,1387,27.4,17.4(17),13.0,20.3,23.3,17.3,
56,2019-9,1387,19.0,6.6(23),14.0,19.0,22.2,15.8,
57,2019-10,1387,142.4,26.4(13),10.0,16.8,19.5,14.1,
58,2019-11,1387,231.8,27.2(12),19.0,12.9,15.0,10.8,
59,2019-12,1387,192.0,50.0(18),14.0,12.1,14.8,9.5,
60,2020-1,1387,119.3,48.2(16),13.0,11.5,14.1,8.9,
61,2020-2,1387,47.1,19.6(28),14.0,13.3,16.1,10.5,
62,2020-3,1387,114.0,38.0(01),16.0,12.5,15.1,9.8,
63,2020-4,1387,73.0,12.6(05),11.0,14.4,17.3,11.6,
